,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
0,F,Stratum_4,2.016938790026181,0.029130815752853905,1.412732690142624,1.1132812714987208,0.40746742529728613,1.0002571561834772,0.9955993906071687,1.3716664766939861,1.2086841511224595
1,F,Stratum_5,1.418487325954421,0.5231763942014326,1.8323783567022283,-0.8746783544469777,0.924854395371558,1.1963733069285483,0.48402776820582233,1.5401124121469976,1.2086841511224595
2,M,Stratum_2,-1.1748023516898722,-2.2434788451106082,-1.3849050869214046,-2.2120330119013567,-1.4206332022984742,-0.9609043512672315,-1.8545853627717601,-1.8288062969132495,-0.8272793395915531
3,F,Stratum_2,-0.5763508876181122,-0.9589603411443035,0.7832641903032176,-0.9831125158621977,0.5799297486553767,0.490355164246293,0.030921474078915587,-0.14434694238312598,1.2086841511224595
4,M,Stratum_4,0.42106821916815446,1.51126755109859,2.1121421344086313,1.1494259919704608,1.3387639714309754,1.2748197672265764,1.5071710130085145,1.6748691605094084,-0.8272793395915531
5,F,Stratum_6,-0.07764133422497886,-0.36610564700600906,1.412732690142624,-1.7060069252969972,-0.9377386968958206,1.157150076779534,-0.6560461331457492,0.5294367994289233,1.2086841511224595
6,M,Stratum_5,1.418487325954421,0.029130815752853905,1.622555523422426,-1.959019968599177,-0.3168743328066944,0.9610339260344631,-0.5683481407340899,1.2705989154221786,-0.8272793395915531
7,F,Stratum_6,0.6205520405254078,0.029130815752853905,2.391905912115034,0.860268228196541,1.200794112744503,1.157150076779534,1.2879260319793662,1.3716664766939861,1.2086841511224595
8,M,Stratum_2,-0.6760927982967389,0.029130815752853905,-1.1051413092150015,-0.18792866548391823,-0.5583215855080212,-2.5298335572277986,-1.2553157479587547,-0.7507523100139705,-0.8272793395915531
9,M,Stratum_2,-0.5763508876181122,-0.9589603411443035,0.2237366348904119,-0.7662441930317578,-1.2826633436120018,0.6080248546933356,-0.6268134690085295,-0.4138604391079455,-0.8272793395915531
10,F,Stratum_3,1.0195196832399145,0.029130815752853905,2.391905912115034,0.7518340667813211,1.1663016480728847,1.2748197672265764,1.2733096999107565,1.5064232250563954,1.2086841511224595
11,M,Stratum_2,-1.3742861730471254,-1.156578572523735,-1.3149641424948038,-1.5614280434100374,0.6834071426702312,-2.2552709461846994,-1.1822340876157054,-1.4919144260072243,-0.8272793395915531
12,F,Stratum_3,0.12184248713227447,0.029130815752853905,-0.8253775315085988,-0.621665311144798,0.5109448193121405,-0.4510023593300472,-0.20293983901884247,-0.34648206492674083,1.2086841511224595
13,M,Stratum_6,1.0195196832399145,0.3255581628220011,1.412732690142624,0.7156893463095811,0.7178996073418492,1.157150076779534,1.024832054744388,1.1358421670597678,-0.8272793395915531
14,F,Stratum_1,-1.5737699944043788,-0.16848741562657757,-1.2450231980682032,-0.04334978359695832,0.7523920720134674,-1.2354669623103307,-0.1590908428130128,-1.188711742191802,1.2086841511224595
15,F,Stratum_3,-0.2771251555822322,-0.16848741562657757,-0.19590903166919238,0.06508437781826161,0.6144222133269949,0.255015783352208,0.3817134437255533,-0.2454145036549334,1.2086841511224595
16,M,Stratum_3,0.6205520405254078,1.116031088339727,0.433559468170214,0.24580798017696148,0.4419598899689043,0.8433642355874206,0.6009584247547017,0.7989502961537436,-0.8272793395915531
17,M,Stratum_3,0.3213263084895278,0.029130815752853905,1.8323783567022283,0.4988210234791413,1.4077489007742117,1.0394803863324915,1.1856117074990973,1.0010854186973583,-0.8272793395915531
18,M,Stratum_2,-1.1748023516898722,-1.551815035282598,-1.2450231980682032,-1.959019968599177,-1.627587990328183,-1.9022618748435716,-2.190761000349788,-1.5256036130978272,-0.8272793395915531
19,M,Stratum_3,-1.6735119050830054,-0.761342109764872,-0.6155546982287966,0.860268228196541,-0.24788940346345814,0.255015783352208,0.3378644475197236,-1.1213333680105975,-0.8272793395915531
20,M,Stratum_3,-0.7758347089753656,-0.9589603411443035,-0.2658499760957931,0.06508437781826161,-0.1789044741202219,0.8433642355874206,0.264782787176674,-0.7170631229233678,-0.8272793395915531
21,M,Stratum_2,-1.3742861730471254,-0.4649147626957248,-0.3357909205223938,-0.8385336339752378,-0.3513667974783125,-0.2941094387339905,-0.5975808048713096,-0.7844414971045724,-0.8272793395915531
22,M,Stratum_4,-1.3742861730471254,-2.4410970764900397,0.1537956904638112,-1.3445597205795974,-0.7652763735377299,-0.09799328798891961,-0.9045237783121173,-1.222400929282405,-0.8272793395915531
23,M,Stratum_2,0.42106821916815446,-1.0577694568340192,1.412732690142624,0.6795446258378411,-1.2826633436120018,0.8041410054384064,0.030921474078915587,0.4620584252477193,-0.8272793395915531
24,M,Stratum_3,1.0195196832399145,0.720794625580864,0.923146079156419,1.3301495943291608,1.1663016480728847,0.9610339260344631,1.390240356459636,1.0347746057879603,-0.8272793395915531
25,M,Stratum_3,1.418487325954421,0.42436727851171685,0.6433823014500162,1.077136551026981,1.0973167187296486,1.157150076779534,1.3317750281851959,0.9337070445161529,-0.8272793395915531
26,M,Stratum_3,-0.4766089769394855,-1.156578572523735,0.5734413570234155,-1.2361255591643776,-1.5241105963133286,0.6472480848423497,-0.9045237783121173,-0.27910369074553537,-0.8272793395915531
27,M,Stratum_6,1.0195196832399145,0.2267490471322854,2.1121421344086313,-0.11563922454043828,0.5109448193121405,1.157150076779534,0.6009584247547017,1.43904485087519,-0.8272793395915531
