,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG_org,HI_GRADE_AVG_org,GENDER_bin,COL_GRADE_AVG,HI_GRADE_AVG
3941,F,Stratum 2,52,46,55,19,22,40,27.0,51.0,1,-1.5768750534681915,-1.0202658067388028
3942,F,0,55,59,49,11,50,45,35.333333333333336,54.333333333333336,1,-1.2114667517529425,-0.6833739358327794
3943,F,Stratum 4,72,53,60,91,10,90,63.666666666666664,61.666666666666664,1,0.030921474078903572,0.05778818016047138
3944,M,Stratum 1,52,61,45,26,63,57,48.666666666666664,52.666666666666664,0,-0.6268134690085444,-0.8518198712857915
3945,M,Stratum 3,62,66,80,86,88,93,89.0,69.33333333333333,0,1.1417627112932602,0.8326394832443247
3946,M,Stratum 4,62,55,75,48,27,89,54.666666666666664,64.0,0,-0.3637194917735652,0.2936124897946879
3947,M,Stratum 3,51,53,49,26,4,65,31.666666666666668,51.0,0,-1.3722464045076521,-1.0202658067388028
3948,M,Stratum 1,56,55,60,43,22,64,43.0,57.0,0,-0.8752911141749136,-0.413860439107961
3949,F,Stratum 1,74,76,60,94,82,79,85.0,70.0,1,0.9663667264699408,0.9000178574255299
3950,M,Stratum 3,74,66,76,92,100,87,93.0,72.0,0,1.3171586961165798,1.1021529799691439
3951,F,Stratum 1,42,45,43,21,23,3,15.666666666666666,43.333333333333336,1,-2.07383034380093,-1.7951171098226562
3952,M,Stratum 3,64,59,53,32,11,57,33.333333333333336,58.666666666666664,0,-1.2991647441646021,-0.24541450365494957
3953,M,Stratum 3,52,50,42,11,31,6,16.0,48.0,0,-2.05921401173232,-1.3234684905542238
3954,M,Stratum 2,60,55,49,45,22,47,38.0,54.666666666666664,0,-1.094536095204063,-0.6496847487421775
3955,M,Stratum 2,58,59,46,51,44,10,35.0,54.333333333333336,0,-1.2260830838215526,-0.6833739358327794
3956,F,Stratum 1,59,56,57,23,56,45,41.333333333333336,57.333333333333336,1,-0.9483727745179633,-0.3801712520173584
3957,F,Stratum 2,49,53,54,84,50,78,70.66666666666667,52.0,1,0.33786444751971295,-0.9191982454669959
3958,M,Stratum 3,55,55,53,62,92,70,74.66666666666667,54.333333333333336,0,0.5132604323430324,-0.6833739358327794
3959,M,Stratum 1,45,43,42,15,39,36,30.0,43.333333333333336,0,-1.4453280648507019,-1.7951171098226562
3960,F,Stratum 3,66,65,58,78,77,55,70.0,63.0,1,0.30863178338249286,0.19254492852288094
3961,M,Stratum 1,48,42,53,7,39,19,21.666666666666668,47.666666666666664,0,-1.8107363665659508,-1.3571576776448264
3962,M,Stratum 2,54,57,59,85,36,67,62.666666666666664,56.666666666666664,0,-0.012927522126926296,-0.44754962619856353
3963,F,Stratum 3,74,81,71,94,91,86,90.33333333333333,75.33333333333333,1,1.2002280395676999,1.4390448508751665
3964,F,Stratum 2,48,40,43,16,4,10,10.0,43.666666666666664,1,-2.322307988967299,-1.7614279227320544
3965,F,Stratum 1,71,53,65,92,69,75,78.66666666666667,63.0,1,0.688656417166352,0.19254492852288094
3966,M,Stratum 3,54,59,43,31,3,11,15.0,52.0,0,-2.10306300793815,-0.9191982454669959
3967,M,Stratum 3,64,57,53,65,71,65,67.0,58.0,0,0.17708479476500325,-0.312792877836154
3968,F,Stratum 2,77,61,52,85,55,50,63.333333333333336,63.333333333333336,1,0.016305142010293823,0.2262341156134835
3969,F,Stratum 2,42,45,34,14,23,14,17.0,40.333333333333336,1,-2.01536501552649,-2.098319793638077
3970,F,Stratum 2,49,43,44,80,23,20,41.0,45.333333333333336,1,-0.9629891065865733,-1.5929819872790423
3971,M,Stratum 1,62,69,45,91,11,59,53.666666666666664,58.666666666666664,0,-0.4075684879793951,-0.24541450365494957
3972,F,Stratum 3,60,57,58,32,56,77,55.0,58.333333333333336,1,-0.3491031597049552,-0.2791036907455514
3973,M,Stratum 1,57,57,45,21,11,12,14.666666666666666,53.0,0,-2.11767934000676,-0.818130684195189
3974,M,Stratum 6,48,58,49,34,16,31,27.0,51.666666666666664,0,-1.5768750534681915,-0.9528874325575984
3975,M,Stratum 1,52,50,46,13,41,18,24.0,49.333333333333336,0,-1.708422042085681,-1.1887117421918143
3976,F,Stratum 3,70,64,75,91,93,84,89.33333333333333,69.66666666666667,1,1.1563790433618701,0.866328670334928
3977,M,Stratum 2,59,53,54,90,4,47,47.0,55.333333333333336,0,-0.6998951293515941,-0.5823063745609723
3978,F,Stratum 2,62,57,52,61,93,50,68.0,57.0,1,0.2209337909708331,-0.413860439107961
3979,F,Stratum 3,57,55,46,35,57,70,54.0,52.666666666666664,1,-0.39295215591078503,-0.8518198712857915
3980,M,Stratum 1,54,53,49,31,85,36,50.666666666666664,52.0,0,-0.5391154765968847,-0.9191982454669959
3981,F,Stratum 2,64,74,63,92,90,87,89.66666666666667,67.0,1,1.1709953754304805,0.5968151736101088
3982,M,Stratum 3,53,48,54,89,5,76,56.666666666666664,51.666666666666664,0,-0.2760214993619055,-0.9528874325575984
3983,M,Stratum 3,57,60,50,54,63,52,56.333333333333336,55.666666666666664,0,-0.29063783143051525,-0.5486171874703706
3984,M,Stratum 3,77,71,80,88,90,96,91.33333333333333,76.0,0,1.2440770357735298,1.5064232250563718
3985,F,Stratum 2,60,64,50,80,70,71,73.66666666666667,58.0,1,0.46941143613720254,-0.312792877836154
3986,F,Stratum 3,51,49,50,16,2,10,9.333333333333334,50.0,1,-2.351540653104519,-1.12133336801061
3987,M,Stratum 3,74,72,80,98,100,99,99.0,75.33333333333333,0,1.580252673351559,1.4390448508751665
3988,M,Stratum 2,52,52,49,47,31,33,37.0,51.0,0,-1.1383850914098927,-1.0202658067388028
3989,M,Stratum 2,54,48,60,58,42,72,57.333333333333336,54.0,0,-0.2467888352246854,-0.7170631229233819
3990,M,Stratum 5,58,72,73,38,11,94,47.666666666666664,67.66666666666667,0,-0.6706624652143743,0.664193547791314
3991,M,Stratum 1,48,50,41,7,31,23,20.333333333333332,46.333333333333336,0,-1.8692016948403904,-1.4919144260072352
3992,F,Stratum 1,48,48,43,4,49,11,21.333333333333332,46.333333333333336,1,-1.8253526986345607,-1.4919144260072352
3993,M,Stratum 2,41,50,37,7,14,19,13.333333333333334,42.666666666666664,0,-2.1761446682811996,-1.8624954840038614
3994,M,Stratum 2,56,57,73,50,4,93,49.0,62.0,0,-0.6121971369399344,0.09147736725107394
3995,F,Stratum 1,64,66,55,84,76,66,75.33333333333333,61.666666666666664,1,0.5424930964802519,0.05778818016047138
3996,M,Stratum 3,81,69,75,56,79,92,75.66666666666667,75.0,0,0.5571094285488623,1.4053556637845648
3997,M,Stratum 3,64,71,59,68,77,69,71.33333333333333,64.66666666666667,0,0.36709711165693243,0.36099086397589303
3998,M,Stratum 3,62,61,65,90,16,77,61.0,62.666666666666664,0,-0.08600918246997598,0.15885574143227837
3999,M,Stratum 1,47,40,40,32,23,3,19.333333333333332,42.333333333333336,0,-1.9130506910462204,-1.8961846710944632
4000,M,Stratum 2,47,53,42,22,63,45,43.333333333333336,47.333333333333336,0,-0.8606747821063035,-1.3908468647354282
4001,M,Stratum 2,44,49,50,6,21,6,11.0,47.666666666666664,0,-2.2784589927614696,-1.3571576776448264
4002,M,Stratum 6,87,74,90,99,75,94,89.33333333333333,83.66666666666667,0,1.1563790433618701,2.2812745281402256
4003,M,Stratum 3,62,59,60,79,79,66,74.66666666666667,60.333333333333336,0,0.5132604323430324,-0.07696856820193745
4004,M,Stratum 1,49,62,50,65,71,55,63.666666666666664,53.666666666666664,0,0.030921474078903572,-0.7507523100139845
4005,F,Stratum 2,53,52,53,19,41,63,41.0,52.666666666666664,1,-0.9629891065865733,-0.8518198712857915
4006,M,Stratum 6,59,59,85,86,94,100,93.33333333333333,67.66666666666667,0,1.3317750281851894,0.664193547791314
4007,F,Stratum 2,62,55,54,4,65,77,48.666666666666664,57.0,1,-0.6268134690085444,-0.413860439107961
4008,F,Stratum 1,49,53,49,15,41,40,32.0,50.333333333333336,1,-1.3576300724390422,-1.0876441809200073
4009,M,Stratum 4,64,64,65,33,62,81,58.666666666666664,64.33333333333333,0,-0.18832350695024577,0.32730167688528977
4010,M,Stratum 1,72,66,57,84,75,82,80.33333333333333,65.0,0,0.7617380775094013,0.3946800510664949
4011,F,Stratum 1,45,48,38,15,34,11,20.0,43.666666666666664,1,-1.8838180269090006,-1.7614279227320544
4012,F,Stratum 2,58,60,53,82,96,81,86.33333333333333,57.0,1,1.0248320547443805,-0.413860439107961
4013,M,Stratum 3,60,71,53,23,7,14,14.666666666666666,61.333333333333336,0,-2.11767934000676,0.02409899306986953
4014,F,Stratum 1,43,48,35,8,8,45,20.333333333333332,42.0,1,-1.8692016948403904,-1.9298738581850658
4015,M,Stratum 2,50,50,49,11,44,29,28.0,49.666666666666664,0,-1.5330260572623615,-1.1550225551012125
4016,M,Stratum 2,41,47,43,49,5,26,26.666666666666668,43.666666666666664,0,-1.5914913855368016,-1.7614279227320544
4017,M,Stratum 2,54,64,53,37,33,50,40.0,57.0,0,-1.0068381027924032,-0.413860439107961
4018,M,Stratum 1,68,66,65,90,69,74,77.66666666666667,66.33333333333333,0,0.644807420960522,0.5294367994289038
4019,M,Stratum 2,77,64,64,96,54,50,66.66666666666667,68.33333333333333,0,0.16246846269639348,0.7315719219725177
4020,M,Stratum 6,52,49,59,12,45,74,43.666666666666664,53.333333333333336,0,-0.8460584500376938,-0.7844414971045863
4021,M,Stratum 4,85,74,59,86,88,88,87.33333333333333,72.66666666666667,0,1.0686810509502103,1.169531354150349
4022,M,Stratum 2,62,61,65,92,97,85,91.33333333333333,62.666666666666664,0,1.2440770357735298,0.15885574143227837
4023,M,Stratum 1,77,71,60,83,70,78,77.0,69.33333333333333,0,0.6155747568233019,0.8326394832443247
4024,M,Stratum 2,66,62,49,36,36,54,42.0,59.0,0,-0.9191401103807435,-0.211725316564347
4025,M,Stratum 4,55,50,73,67,45,90,67.33333333333333,59.333333333333336,0,0.19170112683361298,-0.17803612947374445
4026,M,Stratum 1,39,44,35,22,23,46,30.333333333333332,39.333333333333336,0,-1.4307117327820917,-2.1993873549098844
4027,M,Stratum 2,62,62,48,8,13,10,10.333333333333334,57.333333333333336,0,-2.3076916568986894,-0.3801712520173584
4028,M,Stratum 2,67,64,52,84,11,2,32.333333333333336,61.0,0,-1.343013740370432,-0.009590194020733038
4029,M,Stratum 3,55,44,46,38,64,65,55.666666666666664,48.333333333333336,0,-0.3198704955677354,-1.2897793034636214
4030,F,Stratum 1,60,57,48,34,49,48,43.666666666666664,55.0,1,-0.8460584500376938,-0.615995561651575
4031,M,Stratum 1,41,45,46,55,35,9,33.0,44.0,0,-1.3137810762332123,-1.7277387356414518
4032,M,Stratum 2,60,74,73,81,80,91,84.0,69.0,0,0.922517730264111,0.7989502961537228
4033,M,Stratum 3,64,66,62,67,97,75,79.66666666666667,64.0,0,0.7325054133721818,0.2936124897946879
4034,M,Stratum 3,48,48,43,32,41,52,41.666666666666664,46.333333333333336,0,-0.9337564424493535,-1.4919144260072352
4035,M,Stratum 1,70,72,62,60,86,81,75.66666666666667,68.0,0,0.5571094285488623,0.6978827348819159
4036,M,Stratum 1,43,40,46,2,4,25,10.333333333333334,43.0,0,-2.3076916568986894,-1.8288062969132588
4037,F,Stratum 1,60,57,62,40,25,77,47.333333333333336,59.666666666666664,1,-0.685278797282984,-0.14434694238314258
4038,M,Stratum 1,74,64,68,88,45,81,71.33333333333333,68.66666666666667,0,0.36709711165693243,0.765261109063121
4039,M,Stratum 2,46,53,49,30,27,44,33.666666666666664,49.333333333333336,0,-1.2845484120959925,-1.1887117421918143
4040,M,Stratum 4,85,77,76,100,92,99,97.0,79.33333333333333,0,1.4925546809398993,1.8433150959623945
4041,M,Stratum 2,70,64,70,77,85,87,83.0,68.0,0,0.8786687340582812,0.6978827348819159
4042,M,Stratum 2,47,48,48,26,21,50,32.333333333333336,47.666666666666664,0,-1.343013740370432,-1.3571576776448264
4043,F,Stratum 2,53,62,57,76,74,48,66.0,57.333333333333336,1,0.13323579855917336,-0.3801712520173584
4044,M,Stratum 3,58,58,49,91,90,69,83.33333333333333,55.0,0,0.8932850661268908,-0.615995561651575
4045,M,Stratum 2,62,59,43,60,68,2,43.333333333333336,54.666666666666664,0,-0.8606747821063035,-0.6496847487421775
4046,M,Stratum 1,50,47,35,12,26,6,14.666666666666666,44.0,0,-2.11767934000676,-1.7277387356414518
4047,F,Stratum 2,60,57,55,35,56,46,45.666666666666664,57.333333333333336,1,-0.7583604576260341,-0.3801712520173584
4048,F,Stratum 3,68,61,73,80,32,86,66.0,67.33333333333333,1,0.13323579855917336,0.6305043607007107
4049,F,Stratum 2,72,74,59,86,93,66,81.66666666666667,68.33333333333333,1,0.8202034057838415,0.7315719219725177
4050,F,Stratum 2,64,77,41,80,50,28,52.666666666666664,60.666666666666664,1,-0.451417484185225,-0.043279381111335606
4051,F,Stratum 1,54,62,48,68,15,15,32.666666666666664,54.666666666666664,1,-1.3283974083018224,-0.6496847487421775
4052,M,Stratum 3,57,62,80,83,98,99,93.33333333333333,66.33333333333333,0,1.3317750281851894,0.5294367994289038
4053,F,Stratum 3,56,65,67,60,56,62,59.333333333333336,62.666666666666664,1,-0.15909084281302566,0.15885574143227837
4054,M,Stratum 2,64,66,57,48,76,66,63.333333333333336,62.333333333333336,0,0.016305142010293823,0.1251665543416765
4055,F,Stratum 1,44,51,43,2,14,40,18.666666666666668,46.0,1,-1.9422833551834404,-1.5256036130978379
4056,M,Stratum 2,60,61,50,33,44,82,53.0,57.0,0,-0.4368011521166149,-0.413860439107961
4057,M,Stratum 4,41,44,48,17,5,15,12.333333333333334,44.333333333333336,0,-2.2199936644870295,-1.6940495485508493
4058,M,Stratum 1,49,48,43,29,56,32,39.0,46.666666666666664,0,-1.050687098998233,-1.4582252389166335
4059,M,Stratum 3,85,76,64,32,91,78,67.0,75.0,0,0.17708479476500325,1.4053556637845648
4060,F,Stratum 1,56,56,36,88,68,24,60.0,49.333333333333336,1,-0.12985817867580585,-1.1887117421918143
4061,M,Stratum 6,62,69,78,43,8,97,49.333333333333336,69.66666666666667,0,-0.5975808048713244,0.866328670334928
4062,M,Stratum 1,74,83,73,98,100,91,96.33333333333333,76.66666666666667,0,1.4633220168026793,1.573801599237577
4063,F,Stratum 2,43,46,50,28,14,28,23.333333333333332,46.333333333333336,1,-1.7376547062229009,-1.4919144260072352
4064,M,Stratum 3,67,69,73,98,34,94,75.33333333333333,69.66666666666667,0,0.5424930964802519,0.866328670334928
4065,M,Stratum 2,72,66,67,72,41,81,64.66666666666667,68.33333333333333,0,0.07477047028473376,0.7315719219725177
4066,M,Stratum 2,64,62,57,93,73,72,79.33333333333333,61.0,0,0.7178890813035714,-0.009590194020733038
4067,M,Stratum 1,60,53,54,41,16,73,43.333333333333336,55.666666666666664,0,-0.8606747821063035,-0.5486171874703706
4068,F,Stratum 2,49,53,40,71,51,80,67.33333333333333,47.333333333333336,1,0.19170112683361298,-1.3908468647354282
4069,M,Stratum 2,55,60,55,31,19,85,45.0,56.666666666666664,0,-0.7875931217632539,-0.44754962619856353
4070,M,Stratum 3,64,59,52,77,92,54,74.33333333333333,58.333333333333336,0,0.4986441002744221,-0.2791036907455514
4071,M,Stratum 1,64,62,50,99,80,81,86.66666666666667,58.666666666666664,0,1.039448386812991,-0.24541450365494957
4072,M,Stratum 2,49,52,43,49,11,23,27.666666666666668,48.0,0,-1.5476423893309716,-1.3234684905542238
4073,F,Stratum 2,59,60,65,42,59,69,56.666666666666664,61.333333333333336,1,-0.2760214993619055,0.02409899306986953
4074,F,Stratum 2,72,74,64,92,83,94,89.66666666666667,70.0,1,1.1709953754304805,0.9000178574255299
4075,M,Stratum 3,70,71,58,82,86,81,83.0,66.33333333333333,0,0.8786687340582812,0.5294367994289038
4076,M,Stratum 2,60,74,60,77,63,66,68.66666666666667,64.66666666666667,0,0.25016645510805324,0.36099086397589303
4077,M,Stratum 4,59,62,57,55,59,74,62.666666666666664,59.333333333333336,0,-0.012927522126926296,-0.17803612947374445
4078,F,Stratum 1,47,53,48,51,38,50,46.333333333333336,49.333333333333336,1,-0.729127793488814,-1.1887117421918143
4079,M,Stratum 1,59,65,46,34,21,46,33.666666666666664,56.666666666666664,0,-1.2845484120959925,-0.44754962619856353
4080,F,Stratum 2,64,76,68,76,100,84,86.66666666666667,69.33333333333333,1,1.039448386812991,0.8326394832443247
4081,F,Stratum 1,64,74,44,69,68,25,54.0,60.666666666666664,1,-0.39295215591078503,-0.043279381111335606
4082,M,Stratum 1,67,66,58,38,62,19,39.666666666666664,63.666666666666664,0,-1.0214544348610133,0.25992330270408537
4083,F,Stratum 2,68,69,76,82,97,94,91.0,71.0,1,1.22946070370492,1.0010854186973368
4084,M,Stratum 3,52,60,53,43,62,61,55.333333333333336,55.0,0,-0.33448682763634513,-0.615995561651575
4085,M,Stratum 4,62,57,49,46,70,58,58.0,56.0,0,-0.21755617108746558,-0.5149280003797679
4086,M,Stratum 2,67,74,59,44,77,67,62.666666666666664,66.66666666666667,0,-0.012927522126926296,0.5631259865195071
4087,M,Stratum 3,39,49,46,30,49,57,45.333333333333336,44.666666666666664,0,-0.7729767896946438,-1.6603603614602473
4088,M,Stratum 1,43,44,49,63,35,43,47.0,45.333333333333336,0,-0.6998951293515941,-1.5929819872790423
4089,F,Stratum 1,51,40,43,10,39,19,22.666666666666668,44.666666666666664,1,-1.7668873703601211,-1.6603603614602473
4090,M,Stratum 1,70,64,58,77,55,67,66.33333333333333,64.0,0,0.14785213062778313,0.2936124897946879
4091,M,Stratum 1,62,62,49,91,92,50,77.66666666666667,57.666666666666664,0,0.644807420960522,-0.34648206492675654
4092,F,Stratum 2,54,57,57,59,55,69,61.0,56.0,1,-0.08600918246997598,-0.5149280003797679
4093,M,Stratum 3,58,53,41,65,49,69,61.0,50.666666666666664,0,-0.08600918246997598,-1.0539549938294055
4094,F,Stratum 3,62,52,45,5,4,64,24.333333333333332,53.0,1,-1.693805710017071,-0.818130684195189
4095,F,Stratum 3,46,44,49,29,49,23,33.666666666666664,46.333333333333336,1,-1.2845484120959925,-1.4919144260072352
4096,M,Stratum 2,56,45,60,13,42,68,41.0,53.666666666666664,0,-0.9629891065865733,-0.7507523100139845
4097,M,Stratum 2,50,46,48,58,18,24,33.333333333333336,48.0,0,-1.2991647441646021,-1.3234684905542238
4098,M,Stratum 3,64,61,43,95,85,22,67.33333333333333,56.0,0,0.19170112683361298,-0.5149280003797679
4099,M,Stratum 2,54,57,52,60,54,36,50.0,54.333333333333336,0,-0.5683481407341046,-0.6833739358327794
4100,F,Stratum 1,48,49,48,25,20,27,24.0,48.333333333333336,1,-1.708422042085681,-1.2897793034636214
4101,F,Stratum 3,60,59,63,88,89,78,85.0,60.666666666666664,1,0.9663667264699408,-0.043279381111335606
4102,M,Stratum 3,43,50,46,7,21,12,13.333333333333334,46.333333333333336,0,-2.1761446682811996,-1.4919144260072352
4103,F,Stratum 1,43,44,49,10,15,33,19.333333333333332,45.333333333333336,1,-1.9130506910462204,-1.5929819872790423
4104,M,Stratum 3,55,49,46,65,97,58,73.33333333333333,50.0,0,0.4547951040685922,-1.12133336801061
4105,M,Stratum 2,51,53,41,41,55,14,36.666666666666664,48.333333333333336,0,-1.1530014234785029,-1.2897793034636214
4106,M,Stratum 1,64,68,53,79,49,39,55.666666666666664,61.666666666666664,0,-0.3198704955677354,0.05778818016047138
4107,F,Stratum 2,64,65,71,82,86,85,84.33333333333333,66.66666666666667,1,0.9371340623327208,0.5631259865195071
4108,M,Stratum 2,71,68,50,96,94,74,88.0,63.0,0,1.0979137150874305,0.19254492852288094
4109,F,Stratum 2,54,52,45,57,76,68,67.0,50.333333333333336,1,0.17708479476500325,-1.0876441809200073
4110,F,Stratum 3,62,66,49,45,72,53,56.666666666666664,59.0,1,-0.2760214993619055,-0.211725316564347
4111,M,Stratum 1,54,55,37,23,7,19,16.333333333333332,48.666666666666664,0,-2.0445976796637098,-1.2560901163730194
4112,M,Stratum 3,67,58,58,62,14,74,50.0,61.0,0,-0.5683481407341046,-0.009590194020733038
4113,M,Stratum 2,57,52,48,32,55,29,38.666666666666664,52.333333333333336,0,-1.0653034310668432,-0.8855090583763934
4114,M,Stratum 5,64,61,78,25,34,95,51.333333333333336,67.66666666666667,0,-0.5098828124596646,0.664193547791314
4115,M,Stratum 3,48,48,45,5,25,17,15.666666666666666,47.0,0,-2.07383034380093,-1.4245360518260308
4116,M,Stratum 2,43,44,50,75,69,46,63.333333333333336,45.666666666666664,0,0.016305142010293823,-1.5592928001884403
4117,F,Stratum 2,46,52,46,29,2,14,15.0,48.0,1,-2.10306300793815,-1.3234684905542238
4118,M,Stratum 2,51,48,50,3,3,27,11.0,49.666666666666664,0,-2.2784589927614696,-1.1550225551012125
4119,M,Stratum 2,62,62,57,92,97,73,87.33333333333333,60.333333333333336,0,1.0686810509502103,-0.07696856820193745
4120,F,Stratum 1,67,64,46,47,17,21,28.333333333333332,59.0,1,-1.5184097251937516,-0.211725316564347
4121,M,Stratum 2,64,69,65,95,92,90,92.33333333333333,66.0,0,1.2879260319793597,0.4957476123383019
4122,F,Stratum 2,52,53,49,25,42,59,42.0,51.333333333333336,1,-0.9191401103807435,-0.9865766196482003
4123,F,Stratum 3,64,74,57,75,73,56,68.0,65.0,1,0.2209337909708331,0.3946800510664949
4124,M,Stratum 2,58,74,64,77,98,76,83.66666666666667,65.33333333333333,0,0.9079013981955012,0.42836923815709677
4125,M,Stratum 4,62,62,57,80,70,70,73.33333333333333,60.333333333333336,0,0.4547951040685922,-0.07696856820193745
4126,F,Stratum 2,68,71,80,91,94,94,93.0,73.0,1,1.3171586961165798,1.2032205412409507
4127,M,Stratum 3,77,76,68,99,92,91,94.0,73.66666666666667,0,1.3610076923224097,1.270598915422156
4128,F,Stratum 3,59,53,54,53,37,68,52.666666666666664,55.333333333333336,1,-0.451417484185225,-0.5823063745609723
4129,M,Stratum 1,67,71,65,61,73,88,74.0,67.66666666666667,0,0.48402776820581234,0.664193547791314
4130,F,Stratum 1,54,52,38,32,46,38,38.666666666666664,48.0,1,-1.0653034310668432,-1.3234684905542238
4131,M,Stratum 2,58,60,57,57,71,26,51.333333333333336,58.333333333333336,0,-0.5098828124596646,-0.2791036907455514
4132,M,Stratum 4,70,62,62,93,54,78,75.0,64.66666666666667,0,0.5278767644116422,0.36099086397589303
4133,M,Stratum 1,64,58,43,60,79,55,64.66666666666667,55.0,0,0.07477047028473376,-0.615995561651575
4134,F,Stratum 2,50,47,42,15,35,30,26.666666666666668,46.333333333333336,1,-1.5914913855368016,-1.4919144260072352
4135,M,Stratum 1,42,45,40,48,8,16,24.0,42.333333333333336,0,-1.708422042085681,-1.8961846710944632
4136,M,Stratum 4,72,68,71,77,85,92,84.66666666666667,70.33333333333333,0,0.9517503944013311,0.9337070445161317
4137,F,Stratum 3,48,50,53,22,2,84,36.0,50.333333333333336,1,-1.1822340876157227,-1.0876441809200073
4138,M,Stratum 3,48,55,43,76,59,30,55.0,48.666666666666664,0,-0.3491031597049552,-1.2560901163730194
4139,M,Stratum 2,62,48,42,6,8,52,22.0,50.666666666666664,0,-1.796120034497341,-1.0539549938294055
4140,M,Stratum 1,58,51,48,11,14,4,9.666666666666666,52.333333333333336,0,-2.336924321035909,-0.8855090583763934
4141,M,Stratum 2,46,50,52,42,14,36,30.666666666666668,49.333333333333336,0,-1.416095400713482,-1.1887117421918143
4142,M,Stratum 1,57,58,54,4,3,44,17.0,56.333333333333336,0,-2.01536501552649,-0.4812388132891654
4143,F,Stratum 2,46,42,54,9,9,26,14.666666666666666,47.333333333333336,1,-2.11767934000676,-1.3908468647354282
4144,M,Stratum 2,57,50,42,13,1,8,7.333333333333333,49.666666666666664,0,-2.4392386455161787,-1.1550225551012125
4145,M,Stratum 2,58,59,59,65,90,82,79.0,58.666666666666664,0,0.7032727492349616,-0.24541450365494957
4146,M,Stratum 4,68,59,59,89,84,93,88.66666666666667,62.0,0,1.1271463792246506,0.09147736725107394
4147,F,Stratum 2,68,64,57,81,87,53,73.66666666666667,63.0,1,0.46941143613720254,0.19254492852288094
4148,F,Stratum 1,62,76,78,100,76,91,89.0,72.0,1,1.1417627112932602,1.1021529799691439
4149,M,Stratum 3,54,64,53,46,26,18,30.0,57.0,0,-1.4453280648507019,-0.413860439107961
4150,M,Stratum 1,51,52,46,10,1,10,7.0,49.666666666666664,0,-2.453854977584789,-1.1550225551012125
4151,M,Stratum 1,57,58,59,81,32,82,65.0,58.0,0,0.0893868023533435,-0.312792877836154
4152,M,Stratum 2,52,43,52,14,4,69,29.0,49.0,0,-1.4891770610565318,-1.222400929282417
4153,F,Stratum 4,48,52,53,59,2,70,43.666666666666664,51.0,1,-0.8460584500376938,-1.0202658067388028
4154,M,Stratum 2,54,64,50,54,70,66,63.333333333333336,56.0,0,0.016305142010293823,-0.5149280003797679
4155,M,Stratum 2,60,64,35,80,86,61,75.66666666666667,53.0,0,0.5571094285488623,-0.818130684195189
4156,M,Stratum 2,67,81,71,95,100,99,98.0,73.0,0,1.5364036771457292,1.2032205412409507
4157,F,Stratum 4,54,52,45,23,52,70,48.333333333333336,50.333333333333336,1,-0.6414298010771542,-1.0876441809200073
4158,M,Stratum 2,52,50,49,71,10,29,36.666666666666664,50.333333333333336,0,-1.1530014234785029,-1.0876441809200073
4159,F,Stratum 1,57,55,46,3,66,54,41.0,52.666666666666664,1,-0.9629891065865733,-0.8518198712857915
4160,M,Stratum 1,55,57,40,54,53,17,41.333333333333336,50.666666666666664,0,-0.9483727745179633,-1.0539549938294055
4161,F,Stratum 1,74,74,60,81,76,56,71.0,69.33333333333333,1,0.3524807795883227,0.8326394832443247
4162,M,Stratum 2,70,68,55,100,96,82,92.66666666666667,64.33333333333333,0,1.30254236404797,0.32730167688528977
4163,F,Stratum 4,55,52,64,48,77,83,69.33333333333333,57.0,1,0.2793991192452727,-0.413860439107961
4164,M,Stratum 3,62,66,52,77,95,76,82.66666666666667,60.0,0,0.8640524019896714,-0.11065775529254003
4165,M,Stratum 2,56,58,49,35,48,43,42.0,54.333333333333336,0,-0.9191401103807435,-0.6833739358327794
4166,F,Stratum 6,64,74,71,89,80,94,87.66666666666667,69.66666666666667,1,1.0832973830188206,0.866328670334928
4167,M,Stratum 6,50,46,42,51,47,45,47.666666666666664,46.0,0,-0.6706624652143743,-1.5256036130978379
4168,M,Stratum 1,62,64,58,62,33,29,41.333333333333336,61.333333333333336,0,-0.9483727745179633,0.02409899306986953
4169,M,Stratum 2,57,58,76,95,95,92,94.0,63.666666666666664,0,1.3610076923224097,0.25992330270408537
4170,F,Stratum 2,71,59,54,91,65,89,81.66666666666667,61.333333333333336,1,0.8202034057838415,0.02409899306986953
4171,M,Stratum 2,66,59,71,42,70,88,66.66666666666667,65.33333333333333,0,0.16246846269639348,0.42836923815709677
4172,M,Stratum 3,56,64,58,57,95,68,73.33333333333333,59.333333333333336,0,0.4547951040685922,-0.17803612947374445
4173,M,Stratum 2,50,45,55,51,59,45,51.666666666666664,50.0,0,-0.49526648039105486,-1.12133336801061
4174,M,Stratum 3,45,43,34,42,29,25,32.0,40.666666666666664,0,-1.3576300724390422,-2.064630606547475
4175,M,Stratum 2,54,55,46,51,14,43,36.0,51.666666666666664,0,-1.1822340876157227,-0.9528874325575984
4176,M,Stratum 4,53,45,80,57,78,95,76.66666666666667,59.333333333333336,0,0.6009584247546922,-0.17803612947374445
4177,M,Stratum 1,66,74,65,71,78,94,81.0,68.33333333333333,0,0.7909707416466214,0.7315719219725177
4178,M,Stratum 1,79,68,70,58,54,82,64.66666666666667,72.33333333333333,0,0.07477047028473376,1.1358421670597456
