,GENDER,STRATUM,CR_S11,CC_S11,ENG_S11,CR_PRO,CC_PRO,ENG_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
0,F,Stratum_4,0.75,0.61,0.7567567567567568,0.9292929292929293,0.7070707070707071,0.9292929292929293,0.8552188552188552,0.6576576576576577,1.0
1,F,Stratum_5,0.6710526315789473,0.66,0.8378378378378378,0.37373737373737376,0.8585858585858586,0.9797979797979798,0.7373737373737373,0.6801801801801801,1.0
2,M,Stratum_2,0.32894736842105265,0.38,0.21621621621621623,0.0,0.1717171717171717,0.42424242424242425,0.19865319865319866,0.22972972972972974,0.0
3,F,Stratum_2,0.40789473684210525,0.51,0.6351351351351351,0.3434343434343434,0.7575757575757576,0.797979797979798,0.632996632996633,0.4549549549549549,1.0
4,M,Stratum_4,0.5394736842105263,0.76,0.8918918918918919,0.9393939393939394,0.9797979797979798,1.0,0.973063973063973,0.6981981981981983,0.0
5,F,Stratum_6,0.47368421052631576,0.57,0.7567567567567568,0.1414141414141414,0.31313131313131315,0.9696969696969697,0.47474747474747475,0.545045045045045,1.0
6,M,Stratum_5,0.6710526315789473,0.61,0.7972972972972973,0.0707070707070707,0.494949494949495,0.9191919191919192,0.494949494949495,0.6441441441441442,0.0
7,F,Stratum_6,0.5657894736842105,0.61,0.9459459459459459,0.8585858585858586,0.9393939393939394,0.9696969696969697,0.9225589225589225,0.6576576576576577,1.0
8,M,Stratum_2,0.39473684210526316,0.61,0.2702702702702703,0.5656565656565656,0.42424242424242425,0.020202020202020204,0.3367003367003367,0.37387387387387383,0.0
9,M,Stratum_2,0.40789473684210525,0.51,0.527027027027027,0.40404040404040403,0.21212121212121213,0.8282828282828283,0.48148148148148145,0.4189189189189189,0.0
10,F,Stratum_3,0.618421052631579,0.61,0.9459459459459459,0.8282828282828283,0.9292929292929293,1.0,0.9191919191919192,0.6756756756756757,1.0
11,M,Stratum_2,0.3026315789473684,0.49,0.22972972972972974,0.18181818181818182,0.7878787878787878,0.09090909090909091,0.35353535353535354,0.2747747747747748,0.0
12,F,Stratum_3,0.5,0.61,0.32432432432432434,0.4444444444444444,0.7373737373737373,0.5555555555555556,0.5791245791245792,0.4279279279279279,1.0
13,M,Stratum_6,0.618421052631579,0.64,0.7567567567567568,0.8181818181818182,0.797979797979798,0.9696969696969697,0.8619528619528619,0.6261261261261261,0.0
14,F,Stratum_1,0.27631578947368424,0.59,0.24324324324324326,0.6060606060606061,0.8080808080808081,0.35353535353535354,0.5892255892255892,0.31531531531531537,1.0
15,F,Stratum_3,0.4473684210526316,0.59,0.44594594594594594,0.6363636363636364,0.7676767676767676,0.7373737373737373,0.7138047138047139,0.44144144144144143,1.0
16,M,Stratum_3,0.5657894736842105,0.72,0.5675675675675675,0.6868686868686869,0.7171717171717171,0.8888888888888888,0.7643097643097644,0.581081081081081,0.0
17,M,Stratum_3,0.5263157894736842,0.61,0.8378378378378378,0.7575757575757576,1.0,0.9393939393939394,0.898989898989899,0.6081081081081081,0.0
18,M,Stratum_2,0.32894736842105265,0.45,0.24324324324324326,0.0707070707070707,0.1111111111111111,0.18181818181818182,0.12121212121212122,0.2702702702702703,0.0
19,M,Stratum_3,0.2631578947368421,0.53,0.36486486486486486,0.8585858585858586,0.5151515151515151,0.7373737373737373,0.7037037037037037,0.32432432432432434,0.0
20,M,Stratum_3,0.3815789473684211,0.51,0.43243243243243246,0.6363636363636364,0.5353535353535354,0.8888888888888888,0.6868686868686869,0.3783783783783784,0.0
21,M,Stratum_2,0.3026315789473684,0.56,0.4189189189189189,0.3838383838383838,0.48484848484848486,0.5959595959595959,0.4882154882154882,0.3693693693693694,0.0
22,M,Stratum_4,0.3026315789473684,0.36,0.5135135135135135,0.24242424242424243,0.36363636363636365,0.6464646464646465,0.41750841750841755,0.3108108108108108,0.0
23,M,Stratum_2,0.5394736842105263,0.5,0.7567567567567568,0.8080808080808081,0.21212121212121213,0.8787878787878788,0.632996632996633,0.5360360360360361,0.0
24,M,Stratum_3,0.618421052631579,0.68,0.6621621621621622,0.98989898989899,0.9292929292929293,0.9191919191919192,0.9461279461279462,0.6126126126126126,0.0
25,M,Stratum_3,0.6710526315789473,0.65,0.6081081081081081,0.9191919191919192,0.9090909090909091,0.9696969696969697,0.9326599326599326,0.5990990990990991,0.0
26,M,Stratum_3,0.42105263157894735,0.49,0.5945945945945946,0.2727272727272727,0.1414141414141414,0.8383838383838383,0.41750841750841755,0.43693693693693697,0.0
