,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
1531,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,62,55,57,58,53,2,46,41,68,21,35.6,57.0,0
1532,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,44,59,59,43,34,35,33,35,29,48,36.0,47.8,1
1533,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,47,52,44,51,46,60,14,36,31,31,34.4,48.0,0
1534,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,43,47,56,50,58,41,23,53,58,62,47.4,50.8,1
1535,F,Stratum_1,PUBLIC,ACADEMIC,59,57,53,46,52,56,22,8,60,72,43.6,53.4,1
1536,M,Stratum_2,PUBLIC,TECHNICAL,45,56,43,55,70,64,24,72,84,0,48.8,53.8,0
1537,M,Stratum_2,PUBLIC,TECHNICAL,57,47,52,58,50,64,46,5,45,65,45.0,52.8,0
1538,M,Stratum_1,PUBLIC,TECHNICAL,59,57,55,68,52,84,77,49,13,41,52.8,58.2,0
1539,M,Stratum_2,PRIVATE,TECHNICAL,56,41,42,53,54,63,20,40,48,52,44.6,49.2,0
1540,F,Stratum_1,PUBLIC,ACADEMIC,50,57,62,59,48,50,52,67,18,71,51.6,55.2,1
1541,F,Stratum_3,PRIVATE,ACADEMIC,64,47,57,68,62,63,59,3,86,62,54.6,59.6,1
1542,M,0,PUBLIC,TECHNICAL,75,59,52,68,65,100,100,91,92,63,89.2,63.8,0
1543,M,Stratum_4,PRIVATE,ACADEMIC,56,64,64,71,59,95,62,88,81,22,69.6,62.8,0
1544,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,51,64,62,67,52,78,96,29,44,0,49.4,59.2,1
1545,M,Stratum_1,PUBLIC,TECHNICAL,49,53,57,58,67,80,76,71,83,7,63.4,56.8,0
1546,M,Stratum_1,PUBLIC,ACADEMIC,62,57,59,67,59,99,20,9,69,68,53.0,60.8,0
1547,M,Stratum_2,PUBLIC,ACADEMIC,79,56,69,77,57,100,72,62,42,12,57.6,67.6,0
1548,M,Stratum_2,PUBLIC,TECHNICAL,79,70,66,71,59,94,47,29,80,25,55.0,69.0,0
1549,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,64,67,64,65,54,52,56,68,89,39,60.8,62.8,1
1550,M,Stratum_3,PRIVATE,ACADEMIC,74,77,66,81,75,94,95,85,99,41,82.8,74.6,0
1551,F,Stratum_2,PRIVATE,TECHNICAL,44,50,52,45,49,69,58,36,54,18,47.0,48.0,1
1552,F,Stratum_2,PRIVATE,TECHNICAL,56,60,55,58,59,96,27,73,58,93,69.4,57.6,1
1553,M,Stratum_3,PRIVATE,ACADEMIC,57,53,57,54,59,39,93,99,70,9,62.0,56.0,0
1554,M,Stratum_2,PRIVATE,ACADEMIC,53,44,45,60,57,76,61,41,63,0,48.2,51.8,0
1555,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,53,51,53,45,43,18,27,8,9,41,20.6,49.0,1
1556,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,64,74,69,65,65,84,98,91,74,94,88.2,67.4,1
1557,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,69,55,61,58,50,83,37,18,41,81,52.0,58.6,1
1558,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,68,55,51,51,38,58,23,57,66,60,52.8,52.6,1
1559,M,Stratum_4,PUBLIC,TECHNICAL/ACADEMIC,39,46,57,58,52,90,41,52,39,34,51.2,50.4,0
1560,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,71,67,64,68,76,96,79,95,94,96,92.0,69.2,0
1561,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,67,64,52,71,52,57,49,16,63,34,43.8,61.2,0
1562,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,54,60,59,70,53,71,60,4,61,21,43.4,59.2,0
1563,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,66,74,77,72,52,68,97,98,68,88,83.8,68.2,1
1564,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,66,60,61,71,57,95,86,94,88,94,91.4,63.0,0
1565,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,60,60,69,62,49,93,60,70,61,1,57.0,60.0,0
1566,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,65,64,66,71,62,92,85,92,87,92,89.6,65.6,0
1567,M,Stratum_1,PRIVATE,TECHNICAL/ACADEMIC,59,64,58,65,48,79,74,83,39,51,65.2,58.8,0
1568,F,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,61,47,53,59,45,89,61,26,42,87,61.0,53.0,1
1569,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,52,55,57,51,43,31,21,31,19,95,39.4,51.6,0
1570,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,47,46,45,51,50,48,20,9,39,2,23.6,47.8,0
1571,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,77,74,72,67,58,96,83,54,76,39,69.6,69.6,0
1572,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,65,64,61,66,42,93,53,52,38,98,66.8,59.6,0
1573,F,Stratum_4,PRIVATE,ACADEMIC,64,55,69,61,57,79,59,72,68,100,75.6,61.2,1
1574,F,Stratum_4,PRIVATE,ACADEMIC,66,64,74,64,68,71,81,89,88,66,79.0,67.2,1
1575,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,71,52,57,64,44,72,53,82,50,87,68.8,57.6,0
1576,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,64,64,60,74,67,89,75,7,96,11,55.6,65.8,0
1577,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,70,64,64,71,68,100,28,64,59,63,62.8,67.4,0
1578,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,59,51,54,50,87,82,69,57,15,62.0,56.0,0
1579,M,Stratum_5,PUBLIC,TECHNICAL/ACADEMIC,56,48,52,63,59,63,33,70,66,10,48.4,55.6,0
1580,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,59,57,68,76,87,71,59,72,98,77.4,65.2,1
1581,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,47,62,53,48,53,65,58,55,23,35,47.2,52.6,1
1582,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,61,55,55,56,58,81,77,71,90,56,75.0,57.0,0
1583,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,72,77,89,78,65,99,98,92,88,30,81.4,76.2,0
1584,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,65,59,57,51,49,38,60,40,18,51,41.4,56.2,0
1585,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,69,60,64,65,52,67,74,73,54,28,59.2,62.0,0
1586,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,67,59,52,63,50,98,43,64,31,32,53.6,58.2,0
1587,M,Stratum_1,PRIVATE,TECHNICAL,61,60,58,62,41,93,81,88,90,59,82.2,56.4,0
1588,M,Stratum_3,PRIVATE,ACADEMIC,55,57,53,57,55,83,52,56,71,46,61.6,55.4,0
1589,M,Stratum_2,PRIVATE,ACADEMIC,62,57,53,58,68,100,51,88,69,44,70.4,59.6,0
1590,M,Stratum_2,PUBLIC,ACADEMIC,64,70,72,58,62,85,32,15,77,44,50.6,65.2,0
1591,M,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,70,62,64,64,59,96,95,90,61,5,69.4,63.8,0
1592,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,67,59,55,68,49,62,52,85,74,43,63.2,59.6,0
1593,M,Stratum_2,PRIVATE,TECHNICAL,53,52,53,63,49,63,62,75,46,60,61.2,54.0,0
1594,M,Stratum_2,PRIVATE,TECHNICAL,76,59,68,70,49,98,89,93,84,81,89.0,64.4,0
1595,M,Stratum_2,PUBLIC,TECHNICAL,53,59,64,50,45,89,31,63,65,2,50.0,54.2,0
1596,M,Stratum_2,PRIVATE,TECHNICAL,40,39,48,44,40,21,1,25,25,57,25.8,42.2,0
1597,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,56,72,58,68,67,73,96,94,90,72,85.0,64.2,0
1598,M,Stratum_1,PUBLIC,TECHNICAL,69,67,71,68,58,99,85,44,16,2,49.2,66.6,0
1599,M,Stratum_2,PUBLIC,TECHNICAL,35,59,55,50,46,76,46,71,63,74,66.0,49.0,0
1600,M,Stratum_2,PUBLIC,TECHNICAL,52,51,52,58,43,41,37,43,51,34,41.2,51.2,0
1601,M,Stratum_1,PUBLIC,ACADEMIC,55,57,61,55,43,67,97,83,3,76,65.2,54.2,0
1602,M,Stratum_3,PRIVATE,ACADEMIC,49,48,42,47,40,57,40,17,11,2,25.4,45.2,0
1603,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,55,51,59,44,70,14,3,3,70,38,25.6,55.8,1
1604,F,Stratum_1,PUBLIC,ACADEMIC,60,51,53,53,43,88,8,25,38,46,41.0,52.0,1
1605,M,Stratum_1,PRIVATE,ACADEMIC,57,48,45,53,48,95,19,68,15,44,48.2,50.2,0
1606,F,Stratum_2,PRIVATE,ACADEMIC,55,54,57,54,52,57,90,81,70,55,70.6,54.4,1
1607,M,Stratum_2,PUBLIC,TECHNICAL,70,72,71,71,52,78,86,96,78,18,71.2,67.2,0
1608,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,72,64,59,71,49,91,72,78,80,70,78.2,63.0,0
1609,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,59,64,56,66,50,94,97,80,60,82,82.6,59.0,1
1610,F,Stratum_2,PUBLIC,TECHNICAL,64,76,83,65,60,78,78,93,79,47,75.0,69.6,1
1611,M,Stratum_2,PUBLIC,TECHNICAL,66,74,71,64,42,61,82,82,63,26,62.8,63.4,0
1612,F,Stratum_2,PUBLIC,TECHNICAL,59,59,60,53,55,67,55,64,66,43,59.0,57.2,1
1613,M,Stratum_3,PUBLIC,TECHNICAL,83,70,64,80,57,100,89,98,87,61,87.0,70.8,0
1614,F,Stratum_1,PUBLIC,TECHNICAL,71,69,74,71,76,88,96,95,98,94,94.2,72.2,1
1615,F,Stratum_2,PUBLIC,ACADEMIC,55,59,57,65,71,36,48,69,80,81,62.8,61.4,1
1616,F,Stratum_1,PUBLIC,TECHNICAL,49,43,42,42,45,49,28,36,12,15,28.0,44.2,1
1617,F,Stratum_2,PUBLIC,ACADEMIC,46,43,50,40,53,1,18,45,45,54,32.6,46.4,1
1618,F,Stratum_2,PUBLIC,ACADEMIC,49,62,57,44,71,63,32,55,72,43,53.0,56.6,1
1619,F,Stratum_4,PUBLIC,ACADEMIC,50,77,68,61,59,97,87,91,61,45,76.2,63.0,1
1620,M,Stratum_3,PUBLIC,TECHNICAL,50,59,49,51,41,57,33,58,58,75,56.2,50.0,0
1621,F,Stratum_3,PRIVATE,ACADEMIC,60,54,53,62,78,46,44,53,93,66,60.4,61.4,1
1622,M,Stratum_1,PUBLIC,TECHNICAL,71,47,50,67,53,98,81,14,61,35,57.8,57.6,0
1623,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,48,57,51,51,44,76,31,17,70,44,47.6,50.2,0
1624,M,Stratum_4,PUBLIC,TECHNICAL,87,56,66,83,82,100,66,55,95,18,66.8,74.8,0
1625,M,Stratum_1,PUBLIC,ACADEMIC,62,62,65,55,67,75,55,13,63,21,45.4,62.2,0
1626,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,70,62,62,75,62,68,86,75,71,7,61.4,66.2,1
1627,F,Stratum_2,PRIVATE,ACADEMIC,69,55,58,59,60,90,87,74,73,97,84.2,60.2,1
1628,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,50,59,52,50,62,6,75,36,70,26,42.6,54.6,0
1629,F,Stratum_3,PRIVATE,TECHNICAL/ACADEMIC,44,60,53,55,48,33,32,59,12,4,28.0,52.0,1
1630,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,77,67,72,75,78,88,63,80,93,10,66.8,73.8,0
1631,M,Stratum_2,PUBLIC,TECHNICAL,65,64,72,78,62,97,93,18,36,23,53.4,68.2,0
1632,M,Stratum_2,PUBLIC,TECHNICAL,53,48,48,54,57,32,64,44,61,44,49.0,52.0,0
1633,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,69,83,77,62,92,98,98,76,60,84.8,71.4,0
1634,M,Stratum_2,PUBLIC,ACADEMIC,59,53,55,58,52,84,50,77,48,0,51.8,55.4,0
1635,M,Stratum_4,PUBLIC,TECHNICAL,76,64,62,70,62,96,88,94,79,32,77.8,66.8,0
1636,M,Stratum_5,PUBLIC,TECHNICAL,67,57,55,61,60,69,28,40,79,13,45.8,60.0,0
1637,F,Stratum_2,PUBLIC,TECHNICAL,80,74,66,72,67,95,96,87,84,36,79.6,71.8,1
1638,F,Stratum_2,PUBLIC,TECHNICAL,50,50,53,56,65,69,7,38,81,35,46.0,54.8,1
1639,F,Stratum_2,PUBLIC,TECHNICAL,61,57,64,64,59,61,25,47,50,34,43.4,61.0,1
1640,F,Stratum_2,PUBLIC,TECHNICAL,87,98,71,81,64,98,70,92,87,53,80.0,80.2,1
1641,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,56,64,69,65,65,79,96,65,82,96,83.6,63.8,1
1642,F,Stratum_1,PUBLIC,ACADEMIC,62,58,69,54,64,69,50,55,64,42,56.0,61.4,1
1643,M,Stratum_1,PUBLIC,TECHNICAL,56,48,50,48,41,80,17,22,32,85,47.2,48.6,0
1644,F,Stratum_1,PUBLIC,TECHNICAL,62,66,65,67,58,63,86,73,58,34,62.8,63.6,1
1645,M,Stratum_2,PUBLIC,TECHNICAL,62,64,61,55,64,99,69,58,64,0,58.0,61.2,0
1646,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,50,50,53,46,73,55,40,39,90,52,55.2,54.4,0
1647,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,59,57,52,58,52,85,77,85,79,23,69.8,55.6,0
1648,M,Stratum_3,PRIVATE,ACADEMIC,65,44,36,51,54,81,53,29,77,77,63.4,50.0,0
1649,M,Stratum_2,PUBLIC,TECHNICAL,64,70,71,77,71,97,96,70,86,95,88.8,70.6,0
1650,F,Stratum_4,PRIVATE,ACADEMIC,74,74,89,83,80,95,100,98,96,96,97.0,80.0,1
1651,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,60,64,57,58,45,68,27,6,11,63,35.0,56.8,1
1652,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,52,53,55,51,52,77,59,39,20,62,51.4,52.6,1
1653,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,64,60,59,53,53,73,23,45,48,6,39.0,57.8,1
1654,M,Stratum_2,PUBLIC,TECHNICAL,44,54,55,50,48,40,7,3,47,4,20.2,50.2,0
1655,M,Stratum_2,PUBLIC,TECHNICAL,31,41,44,40,42,11,46,16,20,77,34.0,39.6,0
1656,M,Stratum_3,PRIVATE,ACADEMIC,35,49,38,42,59,36,24,55,63,27,41.0,44.6,0
1657,F,Stratum_1,PUBLIC,TECHNICAL,60,58,74,67,60,95,91,54,38,13,58.2,63.8,1
1658,M,Stratum_1,PUBLIC,ACADEMIC,47,54,60,51,50,38,61,26,26,23,34.8,52.4,0
1659,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,59,51,65,65,46,94,66,91,24,50,65.0,57.2,0
1660,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,54,62,69,61,55,77,74,1,87,76,63.0,60.2,1
1661,M,Stratum_1,PRIVATE,ACADEMIC,64,49,57,58,50,69,22,31,22,48,38.4,55.6,0
1662,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,67,62,64,59,62,87,76,87,76,88,82.8,62.8,0
1663,M,Stratum_3,PUBLIC,TECHNICAL,70,64,66,85,78,92,72,53,98,0,63.0,72.6,0
1664,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,73,62,74,69,75,96,81,84,83,7,70.2,70.6,0
1665,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,74,60,57,65,62,94,52,91,94,59,78.0,63.6,0
1666,M,Stratum_2,PRIVATE,ACADEMIC,70,77,68,78,62,86,98,100,76,60,84.0,71.0,0
1667,M,Stratum_2,PRIVATE,ACADEMIC,74,70,72,72,76,93,100,97,96,12,79.6,72.8,0
1668,M,Stratum_1,PUBLIC,ACADEMIC,55,50,55,50,53,59,58,74,75,68,66.8,52.6,0
1669,F,Stratum_2,PUBLIC,TECHNICAL,53,54,53,55,53,49,54,28,38,76,49.0,53.6,1
1670,M,Stratum_1,PUBLIC,TECHNICAL,71,62,66,74,70,99,73,67,94,75,81.6,68.6,0
1671,F,Stratum_2,PRIVATE,ACADEMIC,53,64,57,51,58,54,25,60,51,75,53.0,56.6,1
1672,F,Stratum_2,PRIVATE,ACADEMIC,62,67,59,69,68,96,55,33,97,93,74.8,65.0,1
1673,F,Stratum_2,PRIVATE,ACADEMIC,73,62,64,58,50,96,70,87,54,46,70.6,61.4,1
1674,F,Stratum_1,PUBLIC,TECHNICAL,57,54,66,62,48,94,35,35,48,52,52.8,57.4,1
1675,M,Stratum_2,PUBLIC,TECHNICAL,76,56,62,87,65,81,55,89,86,91,80.4,69.2,0
1676,M,Stratum_1,PUBLIC,TECHNICAL,68,57,59,62,41,58,4,11,59,70,40.4,57.4,0
1677,M,Stratum_2,PUBLIC,TECHNICAL,73,58,62,64,62,97,57,70,47,22,58.6,63.8,0
1678,M,Stratum_1,PUBLIC,TECHNICAL,77,64,64,91,67,84,82,96,84,85,86.2,72.6,0
1679,F,Stratum_1,PUBLIC,ACADEMIC,57,55,64,67,60,88,62,94,71,44,71.8,60.6,1
1680,M,Stratum_1,PUBLIC,ACADEMIC,62,57,58,58,65,69,51,71,61,69,64.2,60.0,0
1681,F,Stratum_1,PUBLIC,TECHNICAL,45,43,40,45,42,43,22,18,20,10,22.6,43.0,1
1682,M,Stratum_3,PUBLIC,ACADEMIC,53,52,53,63,59,92,8,41,85,59,57.0,56.0,0
1683,M,Stratum_1,PUBLIC,TECHNICAL,62,60,59,58,54,81,17,4,20,59,36.2,58.6,0
1684,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,61,58,60,60,43,88,66,91,38,74,71.4,56.4,1
1685,M,Stratum_1,PUBLIC,ACADEMIC,43,41,34,39,42,43,44,46,48,43,44.8,39.8,0
1686,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,77,60,69,67,64,97,73,61,81,32,68.8,67.4,1
1687,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,61,70,62,52,65,55,62,78,85,10,58.0,62.0,1
1688,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,65,57,53,66,55,63,44,9,16,48,36.0,59.2,0
1689,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,64,67,64,55,85,86,58,38,98,83,72.6,67.0,0
1690,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,59,52,49,51,59,60,61,27,70,31,49.8,54.0,0
1691,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,69,53,57,47,59,95,98,55,76,40,72.8,57.0,1
1692,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,52,59,44,58,64,52,21,41,34,20,33.6,55.4,1
1693,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,56,47,48,52,49,87,51,17,49,49,50.6,50.4,1
1694,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,49,52,58,62,83,74,69,79,6,62.2,57.4,0
1695,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,64,64,48,58,57,79,84,20,66,67,63.2,58.2,0
1696,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,77,70,59,74,65,94,83,21,80,98,75.2,69.0,1
1697,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,53,59,64,56,62,31,75,83,78,53,64.0,58.8,1
1698,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,59,57,55,58,54,72,26,52,73,81,60.8,56.6,0
1699,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,64,52,65,70,59,77,57,73,66,92,73.0,62.0,0
1700,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,65,62,68,65,70,75,83,87,73,92,82.0,66.0,1
1701,F,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,52,45,53,56,59,71,17,48,71,93,60.0,53.0,1
1702,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,77,74,76,77,76,98,87,85,93,13,75.2,76.0,0
1703,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,56,57,59,68,68,88,67,74,85,67,76.2,61.6,0
1704,M,Stratum_4,PUBLIC,ACADEMIC,60,54,55,55,71,98,34,5,70,14,44.2,59.0,0
1705,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,49,38,42,48,45,36,57,22,18,61,38.8,44.4,1
1706,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,60,64,64,71,79,75,42,84,60,68.0,65.0,1
1707,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,53,50,59,62,67,64,66,75,14,57.2,58.0,0
1708,F,Stratum_3,PRIVATE,ACADEMIC,57,64,66,67,68,87,92,85,77,92,86.6,64.4,1
1709,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,50,50,50,56,45,22,47,22,3,63,31.4,50.2,1
1710,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,66,67,68,69,46,97,46,65,46,10,52.8,63.2,0
1711,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,62,57,53,62,49,62,62,65,65,81,67.0,56.6,0
1712,M,Stratum_2,PUBLIC,ACADEMIC,65,54,53,56,54,72,5,2,72,40,38.2,56.4,0
1713,M,Stratum_2,PUBLIC,TECHNICAL,57,45,65,70,44,71,49,69,26,7,44.4,56.2,0
1714,M,Stratum_2,PUBLIC,TECHNICAL,52,45,50,59,45,58,9,52,10,8,27.4,50.2,0
1715,M,Stratum_2,PUBLIC,ACADEMIC,49,43,38,42,45,30,11,35,24,46,29.2,43.4,0
1716,M,Stratum_2,PUBLIC,ACADEMIC,58,51,61,52,48,86,13,44,14,21,35.6,54.0,0
1717,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,62,67,59,69,58,91,97,93,83,13,75.4,63.0,1
1718,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,52,54,50,58,43,70,48,10,36,56,44.0,51.4,1
1719,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,53,56,55,60,54,70,27,60,38,24,43.8,55.6,1
1720,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,51,48,48,51,54,31,10,29,17,41,25.6,50.4,1
1721,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,54,47,57,54,46,63,72,93,18,63,61.8,51.6,0
1722,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,51,48,48,45,48,77,41,25,83,78,60.8,48.0,0
1723,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,58,48,48,50,46,46,43,48,11,50,39.6,50.0,0
1724,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,56,49,59,61,48,91,61,2,52,4,42.0,54.6,0
1725,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,53,52,42,44,53,45,8,17,36,37,28.6,48.8,1
1726,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,49,64,72,65,64,91,85,2,82,51,62.2,62.8,1
1727,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,64,46,55,57,41,75,62,85,36,2,52.0,52.6,0
1728,M,Stratum_1,PUBLIC,TECHNICAL,62,58,59,68,53,86,51,90,59,76,72.4,60.0,0
1729,M,Stratum_2,PUBLIC,TECHNICAL,49,55,66,44,50,89,68,4,56,62,55.8,52.8,0
1730,M,Stratum_1,PUBLIC,TECHNICAL,62,57,59,59,58,81,44,69,58,90,68.4,59.0,0
1731,M,Stratum_1,PUBLIC,TECHNICAL,59,46,40,43,39,25,9,1,14,39,17.6,45.4,0
1732,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,44,45,46,47,42,29,45,44,29,40,37.4,44.8,1
1733,M,Stratum_1,PUBLIC,ACADEMIC,52,46,52,56,45,75,19,3,33,19,29.8,50.2,0
1734,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,52,34,37,44,44,50,2,14,15,9,18.0,42.2,0
1735,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,60,43,42,57,53,94,50,38,38,50,54.0,51.0,0
1736,F,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,49,43,44,48,45,10,20,14,30,74,29.6,45.8,1
1737,F,Stratum_1,PUBLIC,ACADEMIC,52,47,50,51,54,54,16,17,54,33,34.8,50.8,1
1738,M,Stratum_3,PUBLIC,ACADEMIC,51,50,38,55,40,55,2,31,36,24,29.6,46.8,0
1739,F,Stratum_2,PUBLIC,TECHNICAL,80,81,69,86,75,100,90,96,88,98,94.4,78.2,1
1740,M,Stratum_2,PUBLIC,TECHNICAL,67,62,62,68,46,82,37,16,65,37,47.4,61.0,0
1741,M,Stratum_2,PUBLIC,TECHNICAL,56,51,37,53,43,50,49,31,66,16,42.4,48.0,0
1742,M,Stratum_2,PUBLIC,TECHNICAL,59,50,47,68,59,91,42,43,49,24,49.8,56.6,0
1743,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,46,48,50,51,48,43,13,47,15,61,35.8,48.6,0
1744,F,Stratum_2,PUBLIC,TECHNICAL,65,64,59,66,59,35,24,43,82,48,46.4,62.6,1
1745,M,Stratum_1,PUBLIC,ACADEMIC,50,41,42,45,41,13,15,39,13,38,23.6,43.8,0
1746,M,Stratum_1,PUBLIC,ACADEMIC,49,52,44,50,48,35,10,18,33,38,26.8,48.6,0
1747,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,58,58,53,47,50,71,48,20,34,46,43.8,53.2,1
1748,M,Stratum_2,PUBLIC,TECHNICAL/ACADEMIC,58,57,59,59,49,35,36,69,39,13,38.4,56.4,0
1749,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,56,57,55,48,49,75,79,95,65,2,63.2,53.0,0
1750,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,47,47,55,50,54,72,22,57,69,87,61.4,50.6,1
1751,F,Stratum_2,PUBLIC,ACADEMIC,65,68,71,71,80,86,91,94,89,18,75.6,71.0,1
1752,M,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,48,62,51,53,46,62,49,64,73,30,55.6,52.0,0
1753,F,Stratum_1,PUBLIC,TECHNICAL/ACADEMIC,82,70,74,85,75,99,88,65,91,53,79.2,77.2,1
1754,M,Stratum_1,PUBLIC,ACADEMIC,43,39,42,48,52,19,8,11,14,87,27.8,44.8,0
1755,F,Stratum_2,PRIVATE,ACADEMIC,74,62,69,68,64,77,58,29,73,25,52.4,67.4,1
1756,M,Stratum_3,PUBLIC,TECHNICAL/ACADEMIC,52,41,42,45,38,47,6,13,3,41,22.0,43.6,0
1757,F,Stratum_2,PUBLIC,ACADEMIC,69,62,66,64,67,89,85,93,85,54,81.2,65.6,1
1758,F,Stratum_1,PUBLIC,ACADEMIC,54,45,50,50,50,62,52,61,20,66,52.2,49.8,1
