,GENDER,STRATUM,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,COL_GRADE_AVG,HI_GRADE_AVG,GENDER_bin
53,F,Stratum_3,PRIVATE,TECHNICAL,65,51,45,63,55,75,71,92,69,99,81.2,55.8,1
54,M,Stratum_3,PRIVATE,TECHNICAL,54,49,42,55,40,77,29,65,51,71,58.6,48.0,0
55,M,Stratum_3,PRIVATE,TECHNICAL,69,63,58,61,50,99,77,27,68,8,55.8,60.2,0
56,F,Stratum_2,PRIVATE,TECHNICAL,63,62,57,56,64,90,78,82,47,82,75.8,60.4,1
57,M,Stratum_6,PRIVATE,ACADEMIC,64,65,61,64,78,98,87,87,95,96,92.6,66.4,0
58,F,Stratum_5,PRIVATE,TECHNICAL,60,60,59,67,70,83,85,63,65,62,71.6,63.2,1
59,M,Stratum_2,PRIVATE,ACADEMIC,80,75,61,81,96,97,97,96,100,82,94.4,78.6,0
60,M,Stratum_3,PRIVATE,TECHNICAL,69,67,78,100,62,97,96,100,49,59,80.2,75.2,0
61,M,Stratum_3,PRIVATE,ACADEMIC,60,60,61,61,59,84,79,73,91,87,82.8,60.2,0
62,M,Stratum_5,PRIVATE,ACADEMIC,65,47,29,56,54,83,48,41,66,34,54.4,50.2,0
63,M,Stratum_5,PRIVATE,ACADEMIC,74,81,61,75,82,88,85,84,98,63,83.6,74.6,0
64,M,Stratum_3,PRIVATE,ACADEMIC,60,60,65,70,75,92,89,87,90,14,74.4,66.0,0
65,M,Stratum_5,PRIVATE,ACADEMIC,74,62,56,64,73,99,29,26,90,7,50.2,65.8,0
66,M,Stratum_2,PRIVATE,TECHNICAL/ACADEMIC,69,62,68,73,46,82,97,64,77,64,76.8,63.6,0
67,M,Stratum_3,PRIVATE,ACADEMIC,65,51,51,61,53,94,80,69,68,33,68.8,56.2,0
68,M,Stratum_3,PRIVATE,ACADEMIC,67,67,68,58,75,78,75,78,85,27,68.6,67.0,0
69,M,Stratum_4,PRIVATE,ACADEMIC,67,58,59,58,78,83,53,3,86,42,53.4,64.0,0
70,F,Stratum_2,PRIVATE,ACADEMIC,77,81,68,66,73,100,59,80,77,51,73.4,73.0,1
71,F,Stratum_4,PRIVATE,ACADEMIC,67,58,56,61,49,40,13,77,85,41,51.2,58.2,1
72,M,Stratum_4,PRIVATE,ACADEMIC,72,75,68,70,71,89,81,99,97,75,88.2,71.2,0
73,F,Stratum_2,PRIVATE,ACADEMIC,54,55,59,58,55,75,93,86,50,2,61.2,56.2,1
74,F,Stratum_2,PRIVATE,ACADEMIC,61,67,57,63,44,97,77,88,75,62,79.8,58.4,1
75,M,Stratum_6,PRIVATE,ACADEMIC,71,63,56,72,88,98,83,60,100,79,84.0,70.0,0
76,F,Stratum_3,PRIVATE,ACADEMIC,72,49,59,63,92,96,45,42,97,76,71.2,67.0,1
77,M,Stratum_5,PRIVATE,ACADEMIC,80,67,68,81,80,96,80,83,100,29,77.6,75.2,0
78,M,Stratum_6,PRIVATE,ACADEMIC,73,68,63,72,82,99,91,88,98,81,91.4,71.6,0
79,M,Stratum_3,PRIVATE,ACADEMIC,63,58,39,64,76,88,1,25,94,94,60.4,60.0,0
80,M,Stratum_5,PRIVATE,ACADEMIC,72,60,65,64,78,100,95,34,99,12,68.0,67.8,0
81,M,Stratum_4,PRIVATE,ACADEMIC,62,62,56,65,71,78,58,70,76,38,64.0,63.2,0
82,M,Stratum_6,PRIVATE,ACADEMIC,72,65,56,66,96,92,84,73,97,90,87.2,71.0,0
83,F,Stratum_5,PRIVATE,ACADEMIC,56,60,49,44,64,67,11,49,82,74,56.6,54.6,1
84,M,Stratum_4,PRIVATE,ACADEMIC,51,54,48,48,39,89,9,8,58,59,44.6,48.0,0
85,F,Stratum_4,PRIVATE,ACADEMIC,51,49,48,57,59,46,25,5,86,19,36.2,52.8,1
86,F,Stratum_6,PRIVATE,ACADEMIC,74,60,57,68,80,100,93,65,91,27,75.2,67.8,1
87,F,Stratum_1,PRIVATE,ACADEMIC,55,68,56,55,62,12,33,51,61,52,41.8,59.2,1
88,M,Stratum_6,PRIVATE,ACADEMIC,67,62,59,75,88,98,100,89,100,93,96.0,70.2,0
89,M,Stratum_6,PRIVATE,ACADEMIC,72,52,48,61,82,72,91,72,93,71,79.8,63.0,0
90,M,Stratum_6,PRIVATE,ACADEMIC,74,81,83,85,92,83,91,100,100,93,93.4,83.0,0
91,M,Stratum_4,PRIVATE,ACADEMIC,74,62,68,75,88,67,75,78,96,67,76.6,73.4,0
92,M,Stratum_3,PRIVATE,ACADEMIC,54,54,45,55,49,97,3,8,44,12,32.8,51.4,0
93,F,Stratum_3,PRIVATE,ACADEMIC,53,52,36,49,64,100,99,10,85,71,73.0,50.8,1
94,F,Stratum_2,PRIVATE,ACADEMIC,46,67,53,58,100,35,1,2,8,62,21.6,64.8,1
95,M,Stratum_2,PRIVATE,ACADEMIC,54,57,45,51,40,61,20,11,18,49,31.8,49.4,0
96,F,Stratum_3,PRIVATE,ACADEMIC,80,62,59,64,75,100,81,98,87,80,89.2,68.0,1
97,F,Stratum_6,PRIVATE,ACADEMIC,74,55,66,64,80,84,81,88,98,54,81.0,67.8,1
98,M,Stratum_4,PRIVATE,ACADEMIC,63,53,51,52,73,82,33,22,76,71,56.8,58.4,0
99,M,Stratum_4,PRIVATE,ACADEMIC,61,60,59,55,76,92,85,23,95,95,78.0,62.2,0
100,M,Stratum_5,PRIVATE,ACADEMIC,63,75,53,75,88,93,98,93,98,76,91.6,70.8,0
101,M,Stratum_5,PRIVATE,ACADEMIC,67,43,48,68,85,47,35,43,93,34,50.4,62.2,0
