,COL_GRADE_AVG
7100,25.0
3645,19.666666666666668
3284,97.0
11130,71.33333333333333
4296,67.0
2962,88.66666666666667
725,16.666666666666668
9618,75.0
3580,48.333333333333336
1404,61.333333333333336
7075,64.33333333333333
5709,51.333333333333336
7939,64.0
10004,49.0
6878,13.0
6156,80.66666666666667
8802,79.0
6646,75.66666666666667
8864,86.33333333333333
6586,93.33333333333331
6582,74.66666666666667
8624,47.66666666666666
1197,69.33333333333333
8709,83.0
11924,52.333333333333336
6801,46.0
11278,78.66666666666667
3744,64.0
5636,48.66666666666666
10494,58.333333333333336
2832,38.333333333333336
7150,68.0
6405,28.0
8264,45.333333333333336
5352,85.66666666666667
10779,85.66666666666667
4477,92.0
11728,66.66666666666667
12377,86.66666666666667
9631,95.66666666666669
3444,42.0
9637,50.0
2643,80.33333333333333
5172,56.0
4225,68.0
2782,87.66666666666667
1630,78.66666666666667
9754,73.66666666666667
11207,92.0
6253,82.66666666666667
6192,91.33333333333331
4709,67.66666666666667
9350,34.0
5883,36.333333333333336
1347,47.333333333333336
6384,86.66666666666667
1498,30.0
6623,53.0
8282,33.0
4307,59.0
4754,66.0
12085,70.33333333333333
11662,78.66666666666667
3048,75.66666666666667
10582,69.66666666666667
7453,75.0
8339,49.333333333333336
6638,23.0
5134,82.0
11739,58.333333333333336
5478,76.0
6369,53.66666666666666
8674,49.333333333333336
11678,45.333333333333336
11611,65.33333333333333
9434,43.0
7438,66.0
4662,51.0
3885,54.0
375,91.33333333333331
11360,95.0
8014,92.33333333333331
12137,68.66666666666667
7266,45.333333333333336
3236,19.0
3200,36.333333333333336
11501,86.33333333333333
7138,25.0
10589,28.33333333333333
10322,50.0
5105,80.66666666666667
5819,86.66666666666667
10455,52.333333333333336
3578,72.0
630,51.66666666666666
5416,63.333333333333336
1764,88.33333333333333
7862,20.0
7647,77.66666666666667
2259,56.0
11438,59.0
3100,39.333333333333336
2082,56.333333333333336
3277,61.333333333333336
6111,34.333333333333336
1784,91.0
11772,74.33333333333333
8238,54.66666666666666
9803,35.666666666666664
2482,54.0
9027,57.333333333333336
7280,77.66666666666667
10267,55.333333333333336
2134,91.66666666666669
7878,78.33333333333333
5517,78.66666666666667
7574,70.33333333333333
3462,47.333333333333336
7193,78.66666666666667
4498,90.66666666666669
3911,81.33333333333333
91,83.0
10180,24.666666666666668
3178,19.33333333333333
4767,92.0
10849,68.66666666666667
4167,47.66666666666666
432,48.333333333333336
190,17.0
11720,49.333333333333336
4372,93.33333333333331
6991,98.66666666666669
1557,32.0
10460,43.0
11875,56.333333333333336
9555,39.66666666666666
3416,84.66666666666667
6845,28.0
10453,31.0
3176,81.66666666666667
11324,87.66666666666667
6048,73.33333333333333
280,69.0
209,52.0
5820,45.66666666666666
1560,89.33333333333333
3103,33.0
7327,20.33333333333333
647,54.66666666666666
9583,84.0
11991,91.0
858,43.333333333333336
10906,67.33333333333333
242,73.66666666666667
6900,79.0
8540,79.33333333333333
9305,67.0
6669,36.333333333333336
2560,77.0
8533,46.66666666666666
2586,40.66666666666666
8404,58.333333333333336
8069,83.66666666666667
919,40.66666666666666
3841,80.0
6238,84.0
11621,50.66666666666666
7302,14.666666666666666
12061,87.66666666666667
3904,57.0
9607,91.33333333333331
3953,16.0
4418,78.66666666666667
7340,96.33333333333331
2363,43.333333333333336
5880,56.0
2617,54.0
5911,86.0
10985,21.33333333333333
6406,78.33333333333333
1627,78.0
6445,23.666666666666668
10533,69.0
3434,23.666666666666668
4410,84.33333333333333
8537,77.0
5226,94.33333333333331
1428,90.0
3187,86.33333333333333
11698,64.66666666666667
6457,68.33333333333333
6979,90.33333333333331
8529,41.66666666666666
1043,27.0
1714,23.666666666666668
6843,86.33333333333333
6344,57.333333333333336
10439,41.0
551,51.0
1944,60.66666666666666
7654,37.333333333333336
11282,85.33333333333333
3400,59.66666666666666
3099,72.66666666666667
11381,90.66666666666669
10885,83.66666666666667
4074,89.66666666666667
1279,94.66666666666669
4547,91.0
7609,54.66666666666666
8880,56.0
11193,87.66666666666667
11219,87.66666666666667
3805,49.0
4333,92.66666666666669
7812,48.66666666666666
7645,77.33333333333333
7141,31.666666666666668
10950,45.0
2050,39.66666666666666
4614,96.33333333333331
10708,56.333333333333336
10065,83.33333333333333
2550,69.33333333333333
12084,41.333333333333336
10932,34.666666666666664
3798,69.0
5691,69.0
3308,34.666666666666664
7610,83.33333333333333
8913,73.66666666666667
8319,57.333333333333336
1684,65.0
2567,90.66666666666669
9684,91.0
4284,97.0
11539,75.0
1935,4.666666666666667
7242,96.66666666666669
8117,62.333333333333336
6662,16.0
5527,45.333333333333336
9898,50.66666666666666
7496,96.66666666666669
10098,94.0
11663,67.33333333333333
12155,96.33333333333331
1579,56.333333333333336
6012,47.0
11468,87.33333333333333
5979,78.0
9994,49.0
6804,75.0
178,38.66666666666666
2512,78.33333333333333
9651,84.0
5754,47.0
443,57.333333333333336
8735,81.66666666666667
1284,75.33333333333333
3263,14.666666666666666
8036,41.0
4942,95.66666666666669
6629,25.33333333333333
4113,38.66666666666666
11911,66.66666666666667
1706,67.0
8570,45.333333333333336
1999,46.333333333333336
4089,22.666666666666668
9610,49.66666666666666
8830,36.333333333333336
5946,22.33333333333333
355,73.0
5584,25.666666666666668
4726,56.0
11845,52.66666666666666
824,22.666666666666668
4763,44.0
1441,26.666666666666668
12399,89.0
10497,50.66666666666666
6077,72.33333333333333
12187,77.0
5388,88.33333333333333
8816,47.333333333333336
10812,55.0
11656,74.66666666666667
1166,41.66666666666666
2203,65.33333333333333
7308,82.0
10202,53.0
11840,87.33333333333333
1649,84.0
4554,66.0
9040,92.33333333333331
12144,86.33333333333333
872,57.333333333333336
4448,91.66666666666669
8867,93.0
2091,83.66666666666667
2444,74.66666666666667
10971,46.0
12133,89.0
9153,78.66666666666667
964,89.0
6515,30.0
265,72.33333333333333
11837,93.33333333333331
1873,85.0
2490,60.333333333333336
3024,65.0
11862,81.0
12007,84.66666666666667
8009,87.33333333333333
10860,38.66666666666666
11552,60.333333333333336
4922,63.0
10559,68.33333333333333
7156,55.333333333333336
5213,56.66666666666666
10923,63.66666666666666
8111,57.333333333333336
7462,84.66666666666667
6977,50.333333333333336
9157,55.333333333333336
12141,97.33333333333331
3615,14.0
57,89.66666666666667
9389,42.66666666666666
9646,62.66666666666666
1310,54.66666666666666
8193,96.66666666666669
6907,37.0
12062,82.33333333333333
5632,67.33333333333333
1075,14.0
4209,57.333333333333336
2594,83.0
41,65.33333333333333
10051,32.333333333333336
11308,69.0
3138,24.666666666666668
1318,17.666666666666668
4327,94.66666666666669
9885,76.0
4381,93.33333333333331
179,53.333333333333336
1116,72.33333333333333
1954,38.66666666666666
2912,77.66666666666667
1237,55.0
6542,75.0
9227,53.0
6562,42.66666666666666
5730,91.0
184,50.333333333333336
5199,96.0
10715,72.0
1261,34.0
3698,25.33333333333333
1206,88.33333333333333
11972,32.666666666666664
5778,63.66666666666666
12275,70.0
10752,28.666666666666668
3677,77.33333333333333
6958,63.0
10980,73.66666666666667
5054,80.33333333333333
8716,68.66666666666667
281,59.0
6560,49.66666666666666
5118,75.66666666666667
10737,56.333333333333336
5258,17.0
1030,51.333333333333336
323,27.666666666666668
9836,27.33333333333333
2441,52.0
11610,75.0
11483,99.33333333333331
10483,48.0
