,COL_GRADE_AVG,Preds
12328,100.0,92.67417
8479,99.66666666666669,90.95374
5132,99.66666666666669,88.59376
6305,99.66666666666669,86.43783
8883,99.66666666666669,91.044945
258,99.66666666666669,88.8538
2117,99.33333333333331,90.41308
11447,99.33333333333331,89.52476
7946,99.33333333333331,90.95374
12238,99.33333333333331,90.0076
10626,99.33333333333331,90.80403
11986,99.33333333333331,92.00364
7333,99.33333333333331,92.428604
11423,99.33333333333331,85.28757
2079,99.0,88.8538
11320,99.0,83.44191
112,99.0,89.34718
2825,99.0,90.56629
3987,99.0,87.09016
6287,99.0,89.31536
11188,99.0,89.36266
2365,99.0,89.85005
1148,99.0,90.39218
4303,98.66666666666669,89.6355
5129,98.66666666666669,92.15462
4445,98.66666666666669,82.4839
11239,98.66666666666669,90.58971
5156,98.33333333333331,90.57014
2131,98.33333333333331,90.8629
7996,98.33333333333331,80.70644
7012,98.33333333333331,89.08474
4492,98.33333333333331,87.15726
2068,98.33333333333331,91.78776
9574,98.33333333333331,83.496925
104,98.33333333333331,87.80875
1280,98.33333333333331,23.782303
1153,98.33333333333331,87.949036
6236,98.33333333333331,92.63184
3794,98.33333333333331,88.04024
7342,98.33333333333331,92.11229
11791,98.33333333333331,88.57295
7235,98.0,90.8629
7393,98.0,86.35514
11162,98.0,83.52975
2607,98.0,92.518654
637,98.0,90.95374
11171,98.0,89.72662
7494,98.0,73.56543
12240,98.0,85.467026
11132,98.0,85.29279
11205,98.0,87.59153
11867,98.0,89.21403
9496,98.0,86.95583
1239,97.66666666666669,90.86295
10647,97.66666666666669,86.17081
11158,97.66666666666669,89.88048
5248,97.66666666666669,92.63184
11714,97.66666666666669,92.54064
7510,97.66666666666669,92.63184
1179,97.66666666666669,83.07221
2003,97.66666666666669,88.222374
6880,97.66666666666669,92.476326
2635,97.66666666666669,82.40037
11185,97.66666666666669,72.838036
4433,97.66666666666669,80.80462
121,97.66666666666669,86.34205
8905,97.66666666666669,92.67417
11218,97.66666666666669,86.923584
6040,97.33333333333331,81.75727
12375,97.33333333333331,25.938072
3379,97.33333333333331,80.6766
11475,97.33333333333331,82.19184
4400,97.33333333333331,82.71078
2730,97.33333333333331,90.56629
3305,97.33333333333331,88.08805
4452,97.33333333333331,82.58793
8984,97.33333333333331,89.65157
5376,97.33333333333331,92.67417
11399,97.33333333333331,86.83126
6769,97.33333333333331,90.68091
11287,97.33333333333331,87.53737
5336,97.33333333333331,87.959114
6730,97.33333333333331,85.48784
4493,97.33333333333331,90.56629
11190,97.33333333333331,85.49425
5139,97.0,82.58793
9736,97.0,90.56629
6489,97.0,90.130226
5250,97.0,87.21154
11692,97.0,87.83265
10137,97.0,92.11995
6334,97.0,76.616295
90,97.0,91.044945
10387,97.0,88.86052
6179,97.0,90.95374
32,97.0,85.955215
5954,96.66666666666669,90.01561
9069,96.66666666666669,80.53976
5063,96.66666666666669,82.62146
4304,96.66666666666669,86.44727
2262,96.66666666666669,90.28136
6764,96.66666666666669,83.57581
1213,96.66666666666669,90.202255
11589,96.66666666666669,90.40766
11363,96.66666666666669,86.83238
11535,96.66666666666669,86.0696
5438,96.66666666666669,82.539536
11433,96.66666666666669,86.46917
4416,96.66666666666669,81.49086
11406,96.66666666666669,82.4839
11161,96.33333333333331,89.7267
2058,96.33333333333331,83.8527
5126,96.33333333333331,85.24926
7126,96.33333333333331,92.67417
4900,96.33333333333331,92.67417
11191,96.33333333333331,85.64779
7088,96.33333333333331,88.86052
11147,96.33333333333331,76.15293
11257,96.33333333333331,89.21403
11916,96.33333333333331,80.22358
11800,96.33333333333331,92.476326
1984,96.33333333333331,67.768295
6704,96.33333333333331,90.18196
4062,96.33333333333331,85.32994
2658,96.33333333333331,79.65001
8169,96.0,90.68091
10558,96.0,91.17927
5104,96.0,82.91947
7117,96.0,89.05827
7460,96.0,89.897865
7439,96.0,81.49028
7665,96.0,82.563896
5660,96.0,89.08474
10178,96.0,89.34718
7131,96.0,76.05302
6865,96.0,88.82918
12327,96.0,88.08805
11210,96.0,89.627556
1019,96.0,72.443214
11274,96.0,86.95583
4466,96.0,82.25809
11816,95.66666666666669,82.91
9864,95.66666666666669,74.30006
9770,95.66666666666669,85.453354
5869,95.66666666666669,86.46917
8919,95.66666666666669,83.12442
4616,95.66666666666669,83.57252
698,95.66666666666669,83.24992
3162,95.66666666666669,86.85135
5506,95.66666666666669,90.660614
10093,95.66666666666669,89.34718
4348,95.66666666666669,88.56489
5926,95.66666666666669,91.044945
7009,95.66666666666669,82.71078
11912,95.66666666666669,80.37101
5521,95.66666666666669,86.19905
8406,95.33333333333331,78.423515
9959,95.33333333333331,85.52494
11253,95.33333333333331,82.973465
11172,95.33333333333331,91.044945
10648,95.33333333333331,85.80111
7493,95.33333333333331,92.49213
10228,95.33333333333331,83.25047
8422,95.33333333333331,80.07869
169,95.33333333333331,82.75917
11796,95.33333333333331,84.92195
8609,95.33333333333331,89.72003
5661,95.33333333333331,88.59376
44,95.33333333333331,80.76044
5868,95.33333333333331,87.325
4401,95.33333333333331,82.37343
8474,95.33333333333331,90.49886
11203,95.33333333333331,83.52195
2677,95.33333333333331,83.1655
8714,95.33333333333331,79.145096
10054,95.33333333333331,87.92268
2375,95.33333333333331,72.17511
6962,95.33333333333331,82.75917
8160,95.33333333333331,86.112656
11178,95.0,82.71078
8345,95.0,86.0696
8373,95.0,86.17081
7564,95.0,88.65472
7490,95.0,92.31093
259,95.0,87.8684
8098,95.0,89.65157
4843,95.0,79.484955
11260,95.0,92.11229
11849,95.0,86.02723
4802,95.0,90.28136
8250,95.0,78.50011
7690,95.0,89.64429
6367,95.0,65.2834
7796,95.0,83.1146
6912,94.66666666666669,90.24124
6913,94.66666666666669,83.64907
11235,94.66666666666669,82.563896
2519,94.66666666666669,90.56629
5942,94.66666666666669,85.69618
10975,94.66666666666669,89.65157
4468,94.66666666666669,82.56689
5701,94.66666666666669,79.94719
1262,94.66666666666669,58.372604
9905,94.66666666666669,89.497406
24,94.66666666666669,82.43445
